SlowK,SlowD,RSI,EMA,CCI,Aroon Up,Aroon Down,1. open,2. high,3. low,4. close,5. volume,Trend label
43.1092,37.0416,41.5672,56.5238,-51.0031,30.0,70.0,53.41,53.6,52.47,52.67,2489425.0,1
36.1552,32.6262,42.3573,57.0744,-86.89,40.0,80.0,49.18,53.31,48.4,53.27,13167851.0,1
31.8604,28.8751,34.9378,57.6179,-132.4398,50.0,90.0,51.75,51.88,48.84,49.27,5910291.0,1
29.8628,29.2727,37.3615,58.8104,-97.7336,60.0,100.0,57.81,59.17,46.0035,51.51,28445594.0,-1
24.9021,37.6431,43.9525,59.8534,-28.1591,70.0,30.0,53.0,57.88,52.1,56.89,10295470.0,-1
33.0531,54.1187,37.9662,60.2767,-78.596,0.0,40.0,54.08,56.665,51.31,53.62,11597899.0,1
54.9741,69.9308,39.1042,61.2276,-46.4796,0.0,50.0,59.88,59.9,52.88,54.61,11567339.0,-1
74.3288,72.4518,45.3298,62.173,36.4621,0.0,60.0,62.08,64.5,58.6505,59.65,8514653.0,-1
80.4894,61.0725,48.5899,62.5335,-9.6134,10.0,70.0,59.92,62.16,56.91,62.01,10062268.0,-1
62.537,38.5967,46.3841,62.6082,-16.0825,20.0,80.0,58.59,64.44,58.59,60.51,17593736.0,1
40.1912,20.7914,44.4389,62.908,-46.6541,30.0,90.0,55.43,59.26,54.15,59.15,14609861.0,1
13.0618,11.1025,38.1583,63.4448,-79.8473,40.0,100.0,52.1,56.73,49.91,54.92,16622876.0,1
9.1211,11.7715,34.2356,64.6627,-107.2621,50.0,100.0,54.01,55.624,50.52,52.44,20392380.0,1
11.1245,21.9457,34.8616,66.4088,-122.4927,60.0,100.0,58.82,60.75,51.9,53.22,12679387.0,-1
15.0688,40.8101,39.9812,68.2929,-148.3944,70.0,90.0,57.32,60.53,53.705,59.29,16739085.0,-1
39.6439,67.6882,37.462,69.579,-182.8647,80.0,100.0,66.0,66.94,53.55,57.44,14421235.0,-1
67.7177,80.3255,44.2902,71.3131,-50.2474,90.0,60.0,82.54,82.98,64.6701,64.99,17499685.0,-1
95.703,77.7174,75.4284,72.2164,165.8349,100.0,70.0,85.59,86.17,81.0901,83.99,5374890.0,-1
77.5557,58.6537,73.9262,70.5345,222.3193,100.0,80.0,81.15,83.11,79.02,82.26,5830968.0,1
59.8936,47.0855,72.3335,68.8594,190.0108,100.0,0.0,67.66,80.52,67.595,80.45,7210147.0,1
38.5119,42.5956,52.494,67.2036,-150.3306,60.0,10.0,73.0,73.0,61.05,66.7,13875074.0,1
42.8512,50.8277,67.9662,67.2756,55.5554,70.0,0.0,71.6,73.04,70.26,71.55,3830726.0,-1
46.4236,60.841,66.7854,66.665,66.4098,80.0,0.0,75.0,75.0,69.9701,70.9,8699938.0,-1
63.2082,72.5163,68.7504,66.06,49.2292,90.0,10.0,71.96,72.61,67.89,71.46,9871328.0,1
72.8913,79.0054,70.0421,65.2885,94.3628,100.0,20.0,75.0,76.37,71.28,71.85,9570215.0,-1
81.4495,82.8985,72.7878,64.3512,98.6634,100.0,30.0,69.78,74.67,68.8,72.72,6054677.0,1
82.6754,81.6808,70.0823,63.1556,98.7019,90.0,40.0,70.28,71.71,68.53,70.49,8588046.0,1
84.5705,78.8822,69.6809,62.1079,128.1768,100.0,50.0,70.51,73.05,66.57,70.16,6038026.0,1
77.7966,74.5778,71.0062,60.9575,186.4596,100.0,60.0,69.6,72.64,66.72,70.67,8996252.0,1
74.2794,66.8645,69.0756,59.5701,176.8845,100.0,70.0,61.65,71.53,60.89,68.81,15780402.0,1
71.6574,56.2269,60.6107,58.2501,98.359,100.0,80.0,62.46,67.86,61.28,62.14,16720662.0,1
54.6567,44.8767,62.0547,57.6944,57.2255,40.0,90.0,62.23,64.46,58.9166,62.77,9895184.0,-1
42.3666,45.9661,61.7291,56.9693,-9.6617,50.0,0.0,55.93,63.01,53.83,62.52,7267556.0,1
37.6068,54.6859,50.8402,56.1763,-96.4099,60.0,0.0,59.89,60.25,54.3862,55.35,7632559.0,1
57.9248,67.9421,62.2713,56.2943,50.1573,70.0,0.0,62.62,65.15,58.075,60.49,8717815.0,-1
68.5261,74.4066,67.392,55.695,71.6919,80.0,10.0,64.0,64.3599,59.24,62.42,6750581.0,-1
77.3754,76.7787,68.1498,54.7342,83.6723,90.0,20.0,63.52,64.48,61.555,62.71,6922239.0,1
77.3184,74.8058,69.4095,53.5949,98.4658,100.0,30.0,62.6,66.1,60.95,63.23,13404256.0,1
75.6423,75.5679,67.7918,52.2184,86.1764,70.0,40.0,57.14,62.74,56.41,61.66,10422602.0,1
71.4568,79.8036,63.8587,50.8696,85.2667,80.0,50.0,57.86,59.78,56.29,58.07,8976089.0,1
79.6045,83.4689,62.2161,49.841,102.6233,90.0,60.0,55.5,59.92,55.1,56.65,8904687.0,1
88.3494,75.8786,65.3602,48.8683,172.0733,100.0,70.0,61.64,63.49,55.36,58.32,11738502.0,-1
82.4528,58.7148,71.8575,47.518,245.0859,100.0,80.0,49.43,63.05,46.8,61.64,32332152.0,1
56.8336,39.2254,57.1623,45.5006,102.4805,40.0,90.0,46.45,49.29,46.0,48.91,12139522.0,1
36.8581,28.8334,52.9025,45.0135,-35.0104,50.0,100.0,43.7,47.35,41.51,46.46,15622597.0,1
23.9846,29.1716,47.4936,44.8069,-95.1457,60.0,80.0,45.68,45.8,42.35,43.64,7878662.0,1
25.6576,41.4978,50.7885,44.9736,-57.3874,70.0,90.0,44.3,46.16,43.24,45.41,11378219.0,-1
37.8726,53.033,48.1742,44.9112,-107.4093,80.0,0.0,44.77,46.5,42.06,43.98,10351670.0,1
60.9633,59.0008,48.8603,45.0443,-4.143,90.0,0.0,49.5,49.93,43.5,44.4,13705700.0,-1
60.2632,52.5916,56.8401,45.1363,138.6423,100.0,10.0,49.09,51.58,48.41,49.0,12670200.0,-1
55.7759,49.9209,55.4301,44.5843,54.3929,40.0,0.0,43.9,48.55,42.42,48.01,7457200.0,1
41.7358,49.4318,49.3195,44.095,33.3302,50.0,0.0,47.44,48.67,42.72,43.95,19381406.0,1
52.251,59.4482,55.3219,44.1157,74.8919,60.0,0.0,43.84,48.65,43.81,47.52,11946981.0,1
54.3086,70.3564,51.2702,43.6293,65.2205,70.0,0.0,44.25,48.31,42.62,44.81,10909989.0,1
71.7852,84.1008,49.9744,43.4607,67.7189,80.0,10.0,45.57,46.42,43.0,43.95,14731487.0,-1
84.9754,89.6251,52.8729,43.3908,103.7158,90.0,20.0,48.69,49.93,42.5,45.92,24166779.0,-1
95.5419,91.2929,61.2091,43.0295,163.3373,100.0,30.0,45.0,51.1,44.02,51.06,21891579.0,-1
88.358,88.357,50.3015,41.8822,108.1073,0.0,40.0,42.26,44.0,39.16,43.11,12135404.0,1
89.9788,86.4916,49.0195,41.7069,79.9467,0.0,50.0,37.07,42.8,36.49,42.32,12809492.0,1
86.7343,75.0848,43.6177,41.6193,47.599,0.0,60.0,39.7,42.69,38.43,39.06,13505122.0,1
82.7618,57.3374,43.7714,41.9849,-8.9623,0.0,70.0,35.97,39.8,35.11,39.18,14977946.0,1
55.7584,34.1969,39.9138,42.3856,-33.2845,10.0,80.0,35.88,38.42,34.5,36.75,14034360.0,1
33.4919,20.1976,38.3794,43.1906,-55.5621,20.0,90.0,30.41,37.01,30.02,35.77,14419727.0,1
13.3403,12.0938,26.6676,44.2507,-93.0002,30.0,100.0,32.25,33.86,26.04,28.96,23226041.0,1
13.7607,11.9469,29.498,46.4351,-103.9065,40.0,90.0,27.86,36.46,27.0,32.78,15506319.0,1
9.1803,16.1452,20.5811,48.3859,-153.0253,50.0,100.0,34.0,34.9,26.1,28.29,21571023.0,-1
12.8995,31.2262,27.8259,51.2567,-162.5084,60.0,100.0,37.0,40.72,33.86,38.56,18889223.0,-1
26.3558,50.1481,29.961,53.0705,-196.6632,70.0,100.0,45.5,46.2,39.42,40.87,22210969.0,-1
54.4231,67.224,34.1112,54.8134,-166.78,80.0,100.0,56.71,59.99,41.1,44.94,33934986.0,-1
69.6653,74.2832,62.8579,56.2239,96.2597,90.0,0.0,62.82,63.69,58.73,59.87,7368800.0,-1
77.5837,77.7794,74.0714,55.7031,143.6854,100.0,0.0,59.85,63.71,59.85,62.85,8549795.0,-1
75.6005,78.8925,69.1122,54.6821,129.8352,100.0,10.0,57.88,63.64,56.86,59.87,15613318.0,1
80.1539,82.0141,64.4272,53.9409,93.0391,90.0,0.0,56.03,59.23,55.11,57.59,6902800.0,1
80.9231,81.4252,66.008,53.4197,131.2883,100.0,10.0,56.04,59.44,54.96,57.99,6235257.0,-1
84.9654,79.4441,63.0058,52.7667,163.3763,100.0,0.0,57.08,58.46,56.17,56.52,6737028.0,1
78.3871,71.9989,63.8342,52.2306,162.8622,100.0,10.0,53.73,58.25,53.53,56.76,11437073.0,1
74.9796,68.5495,58.957,51.5835,68.5456,40.0,0.0,52.4,54.53,50.25,54.35,10343770.0,1
62.6299,67.5023,55.0646,51.1883,60.5135,50.0,0.0,52.57,53.32,51.6,52.63,3442148.0,1
68.0388,72.9681,56.0946,50.9823,76.2236,60.0,10.0,51.94,53.7,51.35,53.0,9126845.0,1
71.8381,76.1348,53.5367,50.6941,63.1417,70.0,20.0,52.71,53.02,49.89,51.79,8499204.0,1
79.0274,75.6609,56.0124,50.5375,90.9776,80.0,30.0,53.45,53.45,49.6,52.81,13726456.0,-1
77.5389,71.5843,58.6696,50.2129,191.0858,90.0,40.0,53.38,54.95,52.22,53.92,9683061.0,-1
70.4165,67.2696,57.5595,49.6833,157.1893,100.0,50.0,47.0,55.6816,46.12,53.24,27626592.0,1
66.7975,60.3155,47.3847,49.1752,-0.4401,20.0,60.0,47.43,49.49,47.111,47.8,10769154.0,1
64.5948,52.1728,47.2592,49.3717,-56.7344,0.0,70.0,48.88,49.14,45.1,47.74,7467013.0,-1
49.5543,43.4959,48.5803,49.6048,-31.8511,10.0,80.0,49.08,50.54,46.02,48.5,9948035.0,-1
42.3694,38.9736,48.9204,49.7626,-74.8294,20.0,90.0,43.8,48.94,42.92,48.71,12808382.0,1
38.5641,37.0555,40.5352,49.913,-115.7173,30.0,100.0,48.47,50.0,41.87,44.01,15600328.0,1
35.9875,31.1828,49.4027,50.7562,-57.7482,0.0,90.0,49.43,51.34,47.53,49.72,7814220.0,-1
36.615,25.5472,49.7112,50.9043,-92.4126,0.0,100.0,46.83,50.01,45.17,49.9,9187109.0,1
20.9459,16.9216,44.5324,51.0477,-114.1094,10.0,90.0,52.2,52.94,45.63,46.91,15009448.0,-1
19.0808,19.7539,54.8953,51.6389,-98.7536,20.0,100.0,45.73,54.56,45.56,53.0,18929197.0,1
10.7381,30.7178,41.3124,51.4444,-238.5475,30.0,100.0,51.9,52.0,45.78,46.27,20174827.0,1
29.4428,47.2493,53.3976,52.1836,-137.8673,40.0,0.0,53.92,54.22,51.58,51.89,8543457.0,-1
51.9725,57.1764,60.289,52.2255,-0.1404,50.0,0.0,58.56,60.34,52.3,54.33,26120921.0,-1
60.3327,62.363,69.4083,51.9249,68.6267,60.0,0.0,59.09,59.98,56.22,57.09,7313645.0,-1
59.2241,68.3284,72.7828,51.187,60.0801,70.0,0.0,56.2,58.78,54.31,58.03,5669631.0,1
67.5321,78.5966,70.4738,50.2095,42.9219,80.0,0.0,53.46,57.73,52.29,56.35,6040929.0,1
78.229,86.1137,69.7168,49.3323,81.9939,90.0,0.0,60.0,60.35,55.2,55.8,6049569.0,-1
90.0287,89.9058,84.1995,48.4083,118.2458,100.0,0.0,55.93,60.36,55.841,59.9,5834171.0,-1
90.0832,89.2296,81.3405,46.7666,113.5685,100.0,10.0,57.46,58.46,56.01,56.54,6094703.0,1
89.6055,87.2745,82.5001,45.3704,120.0966,100.0,20.0,52.47,57.82,52.2768,56.83,8500338.0,1
88.0002,87.2166,78.8961,43.7333,103.905,100.0,0.0,53.02,53.47,49.96,52.97,7551813.0,1
84.2177,87.3675,76.0171,42.4138,104.4111,90.0,0.0,50.98,51.1,48.71,50.47,16639307.0,1
89.432,84.6222,77.5015,41.2629,139.8155,100.0,0.0,48.7,53.0,47.5,50.86,15937778.0,1
88.4528,77.409,74.8113,39.8919,166.7606,100.0,10.0,48.5,50.66,46.1,48.49,14014083.0,1
75.9819,71.8889,74.2501,38.6636,198.9286,100.0,20.0,43.59,48.41,40.26,48.01,17844330.0,1
67.7924,75.0227,68.2886,37.3285,191.4186,100.0,30.0,41.33,44.9,39.65,43.51,26116529.0,1
71.8925,79.9717,54.9333,36.4454,0.9384,20.0,40.0,37.86,39.24,36.865,37.11,6565034.0,1
85.3831,75.0658,59.0232,36.3504,5.5221,30.0,50.0,38.77,39.53,36.32,38.28,6530167.0,-1
82.6394,58.7495,64.4489,36.0748,59.1938,40.0,60.0,38.55,40.0,37.63,39.75,10020908.0,-1
57.1749,36.8146,64.5579,35.5497,51.6319,50.0,0.0,39.01,39.88,37.035,39.78,5707222.0,-1
36.4341,27.9745,62.7233,34.9454,6.7681,60.0,0.0,35.09,39.1,34.5,38.81,8883253.0,1
16.8349,31.4733,54.9045,34.3933,-52.0469,70.0,0.0,35.65,36.54,33.83,35.2,6003084.0,1
30.6545,51.0519,56.3483,34.2781,-31.9835,80.0,0.0,35.09,36.52,33.59,35.69,16623462.0,1
46.9306,66.7547,55.3785,34.0764,18.8137,90.0,0.0,40.0,40.63,34.89,35.24,4866014.0,-1
75.5706,78.9612,67.7892,33.9102,79.801,100.0,0.0,38.67,41.76,37.92,39.36,2540537.0,-1
77.7629,80.6746,67.1622,33.1316,84.7773,90.0,0.0,40.77,41.2,36.47,38.97,2765119.0,-1
83.5502,84.8788,72.0837,32.2976,131.3243,100.0,0.0,37.89,41.42,37.55,40.49,2924005.0,1
80.7107,86.3297,67.5174,31.1272,126.9378,90.0,0.0,40.28,40.5,35.62,37.25,2176717.0,1
90.3753,89.488,76.4833,30.2525,185.0556,100.0,0.0,38.01,40.75,35.58,39.83,5983614.0,-1
87.9032,89.7198,66.485,28.8843,100.9861,100.0,10.0,34.07,34.47,31.8,33.39,1732957.0,1
90.1856,91.4821,68.7733,28.2407,124.989,100.0,20.0,31.92,34.21,31.07,33.95,1564258.0,1
91.0705,93.0594,64.4691,27.425,123.4432,100.0,0.0,31.0,33.1399,29.9,31.76,1970461.0,1
93.1902,84.5799,62.8487,26.8058,131.0491,90.0,0.0,31.45,31.745,29.4,30.99,1521373.0,1
94.9177,73.2568,65.6848,26.208,157.3933,100.0,10.0,29.6,31.85,28.3,31.8,1446560.0,1
