SlowD,SlowK,RSI,MACD_Signal,MACD_Hist,MACD,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
76.3793,83.829,71.1539,0.3331,0.0841,0.4172,2.6788,179.1658,50.0,100.0,4.36,4.58,3.9,3.96,144949157.0,1
65.8966,79.0461,72.1332,0.3121,0.0181,0.3302,2.4957,232.4242,60.0,100.0,3.08,4.2,2.73,4.01,443164214.0,1
52.2463,66.2628,61.6946,0.3075,-0.0982,0.2094,2.2794,143.8521,70.0,0.0,2.05,3.2,2.015,2.91,294409719.0,1
40.9139,52.381,48.2005,0.3321,-0.1681,0.164,2.1893,-38.4211,80.0,0.0,2.0,2.17,1.86,2.06,61135903.0,1
31.889,38.0952,47.0146,0.3741,-0.1837,0.1904,2.2078,-47.1888,90.0,10.0,1.92,2.24,1.86,2.0,56244120.0,1
26.1582,32.2655,45.518,0.42,-0.1928,0.2273,2.2375,-90.8154,100.0,0.0,1.88,1.95,1.62,1.92,70798225.0,1
18.6863,25.3063,44.9936,0.4682,-0.189,0.2793,2.2828,-91.9428,80.0,0.0,2.15,2.15,1.83,1.89,46777963.0,-1
15.4283,20.903,48.1943,0.5155,-0.1709,0.3446,2.339,-81.8511,90.0,0.0,2.05,2.32,1.97,2.12,78837638.0,-1
16.1974,9.8496,46.404,0.5582,-0.1587,0.3995,2.3702,-109.0837,100.0,10.0,1.82,2.17,1.695,2.0,114429828.0,1
24.4364,15.5322,44.8311,0.5979,-0.1218,0.4761,2.4231,-118.627,100.0,20.0,2.36,2.37,1.78,1.89,131791740.0,-1
30.6178,23.2104,50.262,0.6283,-0.0502,0.5781,2.4993,-90.5866,50.0,30.0,2.6,2.67,2.3,2.34,81395005.0,-1
32.6867,34.5666,53.365,0.6409,0.0131,0.654,2.5221,-73.0258,0.0,40.0,2.67,2.85,2.41,2.58,74575777.0,-1
30.6425,34.0763,55.5513,0.6376,0.0794,0.717,2.5138,-47.6761,0.0,50.0,3.28,3.29,2.41,2.75,89072853.0,-1
33.4848,29.4171,62.7668,0.6177,0.1518,0.7696,2.48,4.6774,10.0,60.0,3.2,3.4,2.7,3.28,163209191.0,-1
46.6304,28.4342,61.841,0.5798,0.1918,0.7716,2.3657,10.6609,0.0,70.0,2.64,3.4,2.41,3.17,250218822.0,1
64.2031,42.603,55.6096,0.5318,0.2423,0.7742,2.2508,4.5046,0.0,80.0,3.61,3.78,1.9,2.48,252156817.0,-1
74.1016,68.8541,69.5311,0.4712,0.3652,0.8364,2.2181,68.7299,10.0,90.0,4.64,4.75,2.75,3.42,243908526.0,-1
70.8077,81.1522,97.9348,0.38,0.4281,0.808,2.0464,146.0594,0.0,100.0,4.67,5.56,4.3,4.63,240128955.0,-1
63.4553,72.2986,97.5908,0.2729,0.3638,0.6368,1.6773,144.2553,0.0,100.0,3.53,4.35,3.36,4.16,338442736.0,1
59.8784,58.9724,96.2327,0.182,0.2749,0.4568,1.3227,124.0212,0.0,80.0,2.55,3.27,2.38,3.03,233946678.0,1
61.6925,59.095,94.6463,0.1133,0.2223,0.3356,1.0788,149.6307,10.0,90.0,2.93,3.17,2.28,2.37,306629570.0,1
63.0531,61.5678,94.4552,0.0577,0.1854,0.2431,0.8943,233.3016,20.0,100.0,1.6,3.9,1.48,2.31,837001220.0,1
63.5145,64.4146,90.8994,0.0113,0.1163,0.1277,0.6921,178.8623,30.0,100.0,0.88,2.04,0.8312,1.58,273649454.0,1
63.151,63.1768,79.1216,-0.0178,0.0705,0.0528,0.5652,135.5223,40.0,100.0,0.84,1.21,0.84,0.8665,63663424.0,1
63.6997,62.9519,79.8121,-0.0354,0.0645,0.0291,0.5222,181.4395,50.0,90.0,0.9,1.0,0.8,0.8718,42061125.0,-1
59.8581,63.3242,84.6018,-0.0515,0.0494,-0.0021,0.4722,333.3333,60.0,100.0,0.433,1.17,0.3961,0.91,203555203.0,1
50.3221,64.8232,48.2058,-0.0639,0.0181,-0.0458,0.4097,92.0228,70.0,80.0,0.4233,0.4322,0.41,0.413,8240702.0,1
35.8396,51.427,49.8267,-0.0684,0.0181,-0.0503,0.4092,119.532,80.0,90.0,0.4489,0.455,0.3909,0.4206,15769582.0,-1
32.0211,34.7161,51.7641,-0.0729,0.0169,-0.056,0.4076,124.4587,90.0,100.0,0.3711,0.46,0.3605,0.43,17319065.0,1
34.7326,21.3757,37.4406,-0.0771,0.0136,-0.0635,0.4044,-121.6211,100.0,80.0,0.3727,0.38,0.3497,0.3685,9960164.0,1
42.1351,39.9715,37.8518,-0.0805,0.0146,-0.0659,0.4095,-54.296,70.0,90.0,0.41,0.41,0.365,0.371,7992495.0,-1
37.9805,42.8504,40.944,-0.0842,0.0159,-0.0683,0.415,75.4444,80.0,0.0,0.45,0.459,0.373,0.3901,8644817.0,-1
36.1645,43.5834,44.3405,-0.0881,0.0159,-0.0722,0.4185,-13.6859,90.0,0.0,0.37,0.4167,0.3573,0.41,6679626.0,1
33.4476,27.5077,35.425,-0.0921,0.0139,-0.0782,0.4198,-80.7332,100.0,0.0,0.3823,0.4,0.3565,0.3732,6070740.0,1
34.6154,37.4023,36.7495,-0.0956,0.0146,-0.081,0.4264,-79.778,60.0,0.0,0.395,0.395,0.361,0.3824,4294606.0,-1
26.6553,35.4327,34.9899,-0.0992,0.0149,-0.0844,0.4327,-72.9048,70.0,10.0,0.409,0.4098,0.375,0.375,4499251.0,-1
16.9251,31.0111,38.2937,-0.103,0.0163,-0.0866,0.4409,-53.2419,80.0,0.0,0.4217,0.4298,0.3916,0.4005,6816940.0,-1
8.4961,13.5221,37.8797,-0.107,0.0162,-0.0908,0.4467,-78.1911,90.0,10.0,0.399,0.42,0.38,0.3985,5232278.0,1
9.9634,6.242,33.0265,-0.1111,0.0164,-0.0947,0.4536,-140.3594,100.0,20.0,0.3861,0.3954,0.3569,0.3745,6908615.0,1
17.0573,5.7243,33.5674,-0.1152,0.0194,-0.0958,0.4649,-128.7149,0.0,30.0,0.4104,0.43,0.38,0.38,11694022.0,-1
29.6265,17.924,36.8457,-0.12,0.0237,-0.0964,0.477,-88.6461,0.0,40.0,0.42,0.44,0.4002,0.4132,3693380.0,-1
39.3354,27.5236,37.858,-0.126,0.0269,-0.0991,0.4862,-21.0487,10.0,50.0,0.5,0.5,0.4097,0.4233,8593074.0,-1
47.3154,43.4318,43.5394,-0.1327,0.0306,-0.1021,0.4951,40.8537,20.0,60.0,0.4835,0.51,0.4407,0.4766,8369022.0,-1
52.1037,47.0508,43.3816,-0.1403,0.0304,-0.11,0.4978,68.4704,30.0,70.0,0.5202,0.5347,0.45,0.4755,8743213.0,-1
57.5223,51.4636,47.6539,-0.1479,0.0297,-0.1182,0.501,151.6066,40.0,80.0,0.48,0.58,0.4743,0.5147,26362874.0,1
59.7418,57.7968,42.6342,-0.1553,0.0242,-0.1311,0.499,57.7586,50.0,90.0,0.5,0.5,0.406,0.476,8330586.0,1
51.4587,63.3065,42.7965,-0.1614,0.0197,-0.1416,0.5023,150.0,60.0,100.0,0.4599,0.5989,0.45,0.4777,15895977.0,1
36.2498,58.1221,39.6729,-0.1663,0.0131,-0.1532,0.5058,33.0332,70.0,0.0,0.45,0.48,0.415,0.452,9035533.0,1
21.7569,32.9475,37.0235,-0.1696,0.0064,-0.1632,0.5135,-29.0506,80.0,0.0,0.437,0.446,0.4,0.43,7289756.0,1
16.7041,17.6797,35.7538,-0.1712,-0.0001,-0.1712,0.5254,-75.3096,90.0,0.0,0.37,0.429,0.365,0.419,8204421.0,1
18.9681,14.6436,29.0863,-0.1712,-0.0068,-0.1779,0.5406,-126.3869,100.0,0.0,0.4039,0.4099,0.36,0.362,9481046.0,1
20.4476,17.7892,31.0177,-0.1695,-0.0086,-0.1781,0.5662,-107.6435,90.0,10.0,0.4196,0.4345,0.3819,0.4,24366110.0,-1
20.304,24.4714,31.5436,-0.1673,-0.0122,-0.1795,0.5899,-103.0936,100.0,20.0,0.3988,0.4694,0.37,0.4106,25169975.0,1
14.0986,19.0823,31.4943,-0.1642,-0.0156,-0.1799,0.6155,-94.5618,100.0,30.0,0.5,0.535,0.3913,0.4101,37840811.0,-1
9.8143,17.3582,34.5048,-0.1603,-0.0173,-0.1777,0.6448,-105.1186,100.0,0.0,0.4858,0.489,0.4105,0.4774,16090936.0,-1
7.2121,5.8553,33.5965,-0.156,-0.0231,-0.1791,0.6688,-94.0422,90.0,10.0,0.48,0.5339,0.451,0.4667,14063997.0,1
10.0189,6.2295,33.4335,-0.1502,-0.027,-0.1772,0.6976,-117.813,100.0,0.0,0.5,0.527,0.45,0.4646,17638542.0,-1
15.3791,9.5516,33.9588,-0.1435,-0.0285,-0.172,0.7309,-109.0117,100.0,0.0,0.5591,0.569,0.47,0.4793,15074095.0,-1
20.0721,14.2756,35.8669,-0.1364,-0.028,-0.1644,0.7669,-70.8662,50.0,0.0,0.54,0.5855,0.515,0.5346,11052792.0,-1
21.3683,22.3103,36.0449,-0.1294,-0.0285,-0.1578,0.8001,-64.04,60.0,10.0,0.629,0.6479,0.533,0.54,9633669.0,-1
17.4606,23.6306,38.0729,-0.1223,-0.0255,-0.1478,0.8372,-60.9195,70.0,20.0,0.69,0.72,0.56,0.6044,7569854.0,-1
11.6187,18.164,40.8204,-0.1159,-0.0235,-0.1394,0.8705,-61.8034,80.0,30.0,0.69,0.71,0.6467,0.69,4289172.0,-1
9.1713,10.5872,40.0977,-0.11,-0.0253,-0.1353,0.8962,-76.9877,90.0,40.0,0.56,0.7154,0.5586,0.6741,5047771.0,1
15.4802,6.105,33.2203,-0.1037,-0.0229,-0.1265,0.928,-105.7865,100.0,50.0,0.62,0.66,0.5073,0.5251,7551791.0,1
29.4095,10.8218,36.6489,-0.098,-0.0004,-0.0983,0.9855,-77.1458,100.0,60.0,0.6,1.05,0.5225,0.66,18807548.0,-1
47.4947,29.5138,35.6384,-0.0979,0.0233,-0.0746,1.032,-109.5258,100.0,70.0,0.76,0.78,0.5657,0.6372,10737988.0,-1
62.2861,47.893,41.2417,-0.1037,0.0627,-0.041,1.0884,-32.9984,100.0,80.0,1.3,1.37,0.6811,0.853,14599188.0,-1
68.812,65.0772,68.5096,-0.1194,0.1,-0.0194,1.1221,124.4928,50.0,90.0,1.42,1.7,1.4,1.46,12055136.0,-1
62.6845,73.888,66.5416,-0.1444,0.091,-0.0534,1.0738,167.9934,60.0,100.0,1.62,1.78,1.2,1.4,24901594.0,-1
44.6218,67.4707,69.1339,-0.1671,0.0773,-0.0899,1.0272,291.7236,70.0,100.0,1.16,1.75,1.12,1.44,22243068.0,1
29.6076,46.6947,55.4734,-0.1864,0.0473,-0.1392,0.9682,150.9265,80.0,100.0,0.92,1.11,0.8905,1.09,14429140.0,1
21.3873,19.6999,44.4555,-0.1982,0.0338,-0.1645,0.9508,-48.5199,90.0,0.0,0.8193,0.917,0.81,0.9157,4335272.0,1
22.6779,22.4282,36.5237,-0.2067,0.03,-0.1766,0.9558,-113.7122,100.0,10.0,0.85,0.89,0.805,0.8179,6018646.0,1
19.2473,22.0336,38.6573,-0.2142,0.0346,-0.1796,0.9755,-73.0145,0.0,0.0,0.95,0.95,0.85,0.8599,6506940.0,-1
20.4909,23.5719,43.5655,-0.2228,0.0377,-0.1851,0.9921,19.1995,10.0,0.0,0.85,1.07,0.8475,0.9499,6912183.0,1
24.0689,12.1365,34.1223,-0.2323,0.0337,-0.1986,0.9981,-113.5253,20.0,10.0,0.87,0.91,0.83,0.837,4245041.0,1
33.4329,25.7643,36.7181,-0.2407,0.0393,-0.2014,1.0211,-96.532,30.0,20.0,0.8929,0.92,0.855,0.89,5076413.0,-1
37.9808,34.3058,37.4931,-0.2505,0.0431,-0.2074,1.0398,-101.6963,40.0,30.0,0.9316,0.935,0.87,0.906,3262276.0,-1
38.0563,40.2287,39.0605,-0.2613,0.0475,-0.2138,1.059,-67.1574,50.0,40.0,1.0,1.0,0.9,0.9398,6807058.0,-1
33.711,39.408,41.0625,-0.2732,0.051,-0.2222,1.076,-19.5733,60.0,50.0,0.999,1.02,0.9552,0.9836,5016224.0,-1
30.995,34.5322,41.3631,-0.2859,0.0518,-0.2341,1.0892,-4.3981,70.0,60.0,1.05,1.06,0.95,0.9905,4580424.0,-1
37.6433,27.193,43.415,-0.2989,0.0522,-0.2467,1.1033,6.4844,80.0,70.0,1.0,1.1,0.9101,1.04,8003594.0,1
56.2444,31.2598,39.0146,-0.3119,0.0477,-0.2642,1.1123,-75.9551,90.0,80.0,0.8797,0.98,0.811,0.96,6951123.0,1
73.9797,54.4771,33.4864,-0.3238,0.0493,-0.2745,1.1341,-56.5582,100.0,90.0,1.23,1.23,0.8,0.865,13688373.0,-1
74.8031,82.9961,42.4092,-0.3362,0.0621,-0.2741,1.1725,110.7145,70.0,100.0,1.28,1.37,1.03,1.11,12664413.0,-1
56.4857,84.4658,48.0536,-0.3517,0.0573,-0.2944,1.1814,144.4067,80.0,100.0,1.15,1.24,1.06,1.23,6839601.0,1
34.4468,56.9474,41.6462,-0.366,0.0377,-0.3283,1.1745,32.227,90.0,0.0,1.03,1.13,0.8835,1.12,6911895.0,1
25.6567,28.0439,32.7015,-0.3754,0.0198,-0.3556,1.1823,-89.4009,100.0,0.0,0.86,1.02,0.801,0.9883,5779176.0,1
32.6419,18.3489,22.2527,-0.3804,0.0084,-0.3719,1.21,-193.4432,100.0,0.0,0.93,0.949,0.801,0.86,4836090.0,1
46.2333,30.5772,24.3388,-0.3825,0.0082,-0.3742,1.26,-171.6604,100.0,0.0,1.02,1.02,0.91,0.9387,4960441.0,-1
53.5715,48.9996,26.0509,-0.3845,0.0048,-0.3797,1.3059,-81.6734,60.0,0.0,1.08,1.11,1.0,1.0,5730323.0,-1
49.7114,59.123,27.7718,-0.3857,-0.0018,-0.3875,1.3496,-50.5907,70.0,0.0,1.12,1.12,1.04,1.06,9350140.0,-1
36.9953,52.5918,29.2195,-0.3853,-0.0126,-0.3979,1.391,-30.3437,80.0,0.0,1.06,1.19,1.06,1.11,7972836.0,1
25.0433,37.4194,28.5491,-0.3821,-0.0283,-0.4104,1.4311,-58.1916,90.0,0.0,1.0,1.13,0.95,1.1,5998448.0,1
16.7895,20.9749,23.3197,-0.375,-0.0444,-0.4194,1.4784,-75.8587,100.0,0.0,1.05,1.0785,0.92,1.02,10561578.0,1
13.9431,16.7356,23.9103,-0.3639,-0.0528,-0.4167,1.5439,-74.1348,80.0,0.0,1.09,1.1092,1.01,1.05,4763259.0,-1
10.8833,12.658,24.468,-0.3507,-0.0594,-0.4102,1.6145,-80.1881,90.0,10.0,1.2,1.21,1.01,1.08,7614080.0,-1
8.3198,12.4357,26.1126,-0.3359,-0.0631,-0.399,1.6908,-95.722,100.0,20.0,1.1,1.22,1.0,1.17,12344774.0,1
6.7192,7.5563,22.4647,-0.3201,-0.0679,-0.388,1.7652,-131.348,100.0,30.0,1.21,1.23,1.02,1.1,10520101.0,-1
12.8671,4.9673,23.9873,-0.3031,-0.0582,-0.3613,1.8603,-168.5352,90.0,40.0,1.2,1.25,1.16,1.2,15909413.0,-1
25.878,7.634,21.5959,-0.2886,-0.0435,-0.3321,1.9546,-236.2167,100.0,0.0,1.65,1.75,1.1,1.15,27332567.0,-1
41.7778,26.0,29.4285,-0.2777,-0.0072,-0.2849,2.0695,-207.1596,100.0,0.0,1.82,1.87,1.62,1.62,6231863.0,-1
47.4654,44.0,34.4534,-0.2759,0.0075,-0.2684,2.1338,-125.7925,60.0,10.0,2.04,2.05,1.75,1.83,5535056.0,-1
43.093,55.3333,40.7095,-0.2778,0.013,-0.2648,2.1772,-62.6629,70.0,20.0,2.03,2.1,1.86,2.04,8309887.0,-1
30.5792,43.0628,39.2922,-0.281,0.0034,-0.2777,2.1968,-38.3594,80.0,30.0,2.03,2.12,2.0,2.01,3818462.0,1
22.3082,30.8829,38.8537,-0.2819,-0.0052,-0.2871,2.2234,-46.8249,90.0,40.0,1.91,2.24,1.88,2.0,8496789.0,1
20.2506,17.792,34.6024,-0.2806,-0.0133,-0.2939,2.2553,-115.2227,100.0,0.0,1.95,2.18,1.74,1.9,15701221.0,1
30.1094,18.2497,36.4258,-0.2773,-0.0108,-0.2881,2.3061,-100.8179,100.0,0.0,2.04,2.14,1.87,1.98,5650049.0,-1
43.4794,24.7103,37.3106,-0.2746,-0.0101,-0.2846,2.3527,-86.5235,50.0,0.0,2.08,2.18,1.98,2.02,4398163.0,-1
50.8518,47.3684,38.3588,-0.272,-0.0082,-0.2802,2.4002,-84.0902,60.0,0.0,2.03,2.225,1.97,2.07,5490155.0,1
42.4394,58.3594,39.7665,-0.27,-0.0055,-0.2755,2.4474,-52.8114,70.0,10.0,2.33,2.43,2.11,2.14,6305143.0,-1
24.344,46.8277,45.0843,-0.2686,-0.0041,-0.2727,2.4913,-28.694,80.0,20.0,2.36,2.5,2.25,2.39,5634736.0,-1
10.833,22.131,44.0061,-0.2676,-0.023,-0.2906,2.5058,-68.8867,90.0,30.0,1.95,2.38,1.95,2.35,7041161.0,1
7.1041,4.0734,31.9872,-0.2618,-0.0433,-0.3051,2.528,-120.7158,100.0,40.0,2.12,2.22,1.93,1.95,5915550.0,1
12.3641,6.2946,34.13,-0.251,-0.0274,-0.2785,2.6106,-112.9576,100.0,50.0,2.2,2.335,2.0,2.08,8677567.0,-1
22.8153,10.9443,36.4999,-0.2442,-0.0095,-0.2537,2.6864,-91.8981,20.0,60.0,2.48,2.4842,2.18,2.22,8528615.0,-1
40.4448,19.8534,40.676,-0.2418,0.0092,-0.2326,2.7531,-51.7551,30.0,70.0,2.54,2.66,2.36,2.45,9098869.0,-1
59.6781,37.6481,41.992,-0.2441,0.0184,-0.2257,2.7964,-27.3919,40.0,80.0,2.66,2.82,2.42,2.52,9626098.0,-1
