SlowD,SlowK,RSI,MACD_Signal,MACD_Hist,MACD,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
70.5911,63.8329,43.0669,-0.2487,0.028,-0.2207,2.8358,30.5304,50.0,90.0,2.94,3.21,2.51,2.58,13102096.0,-1
63.7711,77.5534,49.3155,-0.2557,0.0384,-0.2173,2.8724,135.089,60.0,100.0,3.34,3.37,2.89,2.91,11190073.0,-1
45.5192,70.3871,57.5076,-0.2653,0.022,-0.2433,2.867,204.5668,70.0,100.0,2.88,3.28,2.76,3.27,13800964.0,1
30.6786,43.3729,44.9289,-0.2708,-0.0389,-0.3097,2.8094,40.209,80.0,0.0,2.41,2.95,2.3,2.72,12662221.0,1
30.0878,22.7975,34.8263,-0.2611,-0.0729,-0.3339,2.8222,-115.0085,90.0,0.0,2.31,2.455,2.24,2.4,6804293.0,1
40.6059,25.8654,31.2809,-0.2428,-0.0846,-0.3274,2.8825,-161.652,100.0,0.0,2.34,2.45,2.15,2.3,10666063.0,1
49.6534,41.6005,33.0614,-0.2217,-0.0825,-0.3042,2.9658,-101.5729,40.0,10.0,2.65,2.68,2.35,2.41,5724847.0,-1
49.6024,54.3519,38.224,-0.2011,-0.0802,-0.2812,3.0451,-52.9743,50.0,20.0,2.73,2.75,2.59,2.7,3636184.0,-1
42.8115,53.0078,38.7879,-0.181,-0.0964,-0.2774,3.0945,-72.8944,60.0,0.0,2.64,2.7628,2.46,2.73,4476441.0,1
33.7676,41.4475,37.6847,-0.1569,-0.1146,-0.2716,3.1465,-61.2956,70.0,10.0,2.87,2.98,2.55,2.69,6318710.0,-1
27.9263,33.9793,39.9529,-0.1283,-0.1278,-0.2561,3.2117,-71.6884,80.0,0.0,2.68,2.88,2.52,2.83,4989491.0,1
27.8019,25.8759,35.9902,-0.0963,-0.1505,-0.2468,3.2663,-104.717,90.0,10.0,2.51,2.81,2.42,2.67,4928251.0,1
30.3119,23.9237,34.2826,-0.0587,-0.1564,-0.2151,3.3514,-137.2428,100.0,20.0,2.79,2.9,2.26,2.6,9259011.0,-1
33.193,33.606,37.3579,-0.0196,-0.1449,-0.1644,3.4588,-102.1893,70.0,0.0,2.96,3.16,2.8101,2.84,4556384.0,-1
29.2998,33.4061,39.2042,0.0167,-0.1384,-0.1218,3.5472,-83.513,80.0,0.0,3.49,3.5,2.93,2.98,5876632.0,-1
26.713,32.5667,45.2411,0.0513,-0.131,-0.0798,3.6282,-68.9633,90.0,10.0,2.97,3.6,2.95,3.4,11612686.0,1
24.8229,21.9267,35.6922,0.084,-0.1518,-0.0678,3.6608,-150.7265,100.0,20.0,3.24,3.24,2.6299,2.95,6894893.0,1
25.8553,25.6457,37.6625,0.122,-0.1277,-0.0057,3.7624,-134.7458,100.0,30.0,3.56,3.57,2.8,3.1,14202002.0,-1
22.4492,26.8963,43.9172,0.1539,-0.0955,0.0583,3.857,-66.3981,70.0,40.0,3.86,4.045,3.53,3.53,9415306.0,-1
16.8123,25.024,49.0299,0.1778,-0.0823,0.0955,3.9037,-52.6231,80.0,50.0,3.78,3.959,3.62,3.83,5821671.0,-1
20.1152,15.4273,47.5649,0.1983,-0.0874,0.1109,3.9143,-49.9691,90.0,60.0,3.6,4.15,3.4,3.75,13652905.0,1
34.1787,9.9856,45.0785,0.2202,-0.083,0.1372,3.9377,-82.144,100.0,70.0,3.65,3.88,3.35,3.61,7180449.0,1
57.3273,34.9326,42.8123,0.2409,-0.058,0.183,3.9845,-104.725,30.0,80.0,3.87,3.94,3.43,3.48,11414174.0,-1
71.7835,57.6178,48.0256,0.2554,-0.0034,0.252,4.0566,8.8487,40.0,90.0,4.78,4.84,3.75,3.86,9246970.0,-1
79.1848,79.4315,65.1149,0.2563,0.0414,0.2977,4.0847,134.6718,50.0,100.0,4.58,4.89,4.45,4.77,9907278.0,-1
71.5503,78.3012,58.8945,0.2459,0.0132,0.2591,3.9868,75.3046,60.0,90.0,4.36,4.44,4.05,4.34,9865853.0,1
58.3992,79.8218,60.0144,0.2426,0.0072,0.2498,3.9363,139.1363,70.0,0.0,4.5,4.735,4.335,4.39,9497895.0,-1
43.6208,56.5278,60.428,0.2409,-0.0116,0.2292,3.8715,117.2246,80.0,0.0,4.31,4.55,4.12,4.41,13061543.0,1
39.9905,38.848,55.9157,0.2438,-0.0462,0.1976,3.7946,-32.5391,90.0,0.0,3.45,4.08,3.44,4.08,7680090.0,1
38.4124,35.4866,44.093,0.2553,-0.0674,0.1879,3.7538,-129.2734,100.0,10.0,3.75,3.81,3.35,3.4,8182306.0,1
31.8693,45.6368,50.5527,0.2721,-0.03,0.2421,3.8044,-75.5192,0.0,20.0,4.07,4.13,3.68,3.76,7641912.0,-1
20.7585,34.1137,57.2642,0.2797,-0.0086,0.2711,3.8107,-0.6728,0.0,30.0,3.95,4.31,3.8736,4.08,7231456.0,-1
17.9867,15.8575,54.5488,0.2818,-0.0103,0.2715,3.7722,-41.0099,10.0,40.0,3.55,4.07,3.46,3.92,7062223.0,1
24.9838,12.3045,47.1873,0.2844,0.0001,0.2845,3.7511,-43.7262,0.0,50.0,4.03,4.09,3.52,3.53,11661292.0,-1
39.5068,25.7983,57.767,0.2843,0.0522,0.3365,3.7827,14.1362,0.0,60.0,4.1,4.16,3.86,4.02,7944724.0,-1
56.0647,36.8486,60.248,0.2713,0.0769,0.3482,3.7488,47.6686,10.0,70.0,4.19,4.4,4.07,4.12,11441361.0,-1
73.6015,55.8737,60.248,0.2521,0.0958,0.3479,3.6958,74.5088,20.0,80.0,4.06,4.75,4.06,4.12,14589717.0,1
85.8425,75.4717,60.1093,0.2281,0.1143,0.3424,3.6352,104.2137,30.0,90.0,4.9,4.9,4.05,4.11,23796483.0,-1
86.1136,89.4589,80.2906,0.1995,0.1319,0.3314,3.5674,229.1933,40.0,100.0,4.23,5.29,4.15,4.91,32434208.0,-1
75.44,92.5969,73.6129,0.1666,0.0645,0.2311,3.3756,177.7778,0.0,100.0,4.0,4.24,3.73,4.24,11580954.0,1
53.7795,76.2849,63.7006,0.1504,0.0175,0.168,3.2521,74.4681,0.0,20.0,3.5,3.74,3.3,3.64,6291031.0,1
34.3637,57.4384,59.0903,0.1461,-0.0,0.146,3.1967,17.7819,10.0,30.0,3.25,3.45,3.17,3.44,2313752.0,1
22.0898,27.6153,54.1067,0.1461,-0.0098,0.1362,3.1619,14.661,20.0,40.0,3.47,3.48,3.2,3.25,3343707.0,-1
25.4966,18.0374,54.4207,0.1485,-0.0074,0.1411,3.1493,0.5891,30.0,50.0,3.08,3.46,3.02,3.26,3673179.0,1
38.6017,20.6168,48.1971,0.1504,-0.0061,0.1443,3.1335,-36.4093,40.0,60.0,3.23,3.32,3.01,3.03,2493231.0,1
57.4913,37.8355,53.0123,0.1519,0.0178,0.1697,3.1483,-24.038,0.0,70.0,3.15,3.24,3.02,3.2,1872746.0,-1
70.7378,57.3529,51.7359,0.1474,0.0348,0.1822,3.1409,-0.0942,0.0,80.0,3.32,3.35,3.09,3.15,2849223.0,-1
74.2693,77.2854,57.9721,0.1388,0.062,0.2008,3.1397,90.0554,0.0,90.0,3.79,3.85,3.31,3.37,3644776.0,-1
68.9135,77.575,70.9096,0.1233,0.0758,0.1991,3.1067,176.2981,10.0,100.0,3.99,4.0,3.6,3.74,6963085.0,-1
68.0459,67.9476,70.5903,0.1043,0.052,0.1563,3.0163,163.1605,20.0,100.0,3.2,3.75,2.97,3.72,13991044.0,1
75.0433,61.218,54.3595,0.0913,0.0103,0.1015,2.9158,7.4906,30.0,80.0,2.99,3.055,2.64,3.0,3851462.0,1
82.6444,74.9723,52.3889,0.0887,0.0147,0.1035,2.9037,25.5065,40.0,90.0,3.12,3.18,2.75,2.94,3747814.0,-1
77.8912,88.9398,58.8708,0.085,0.0255,0.1105,2.8985,73.6421,50.0,100.0,3.22,3.3,2.91,3.11,4289018.0,-1
59.8786,84.0213,62.9973,0.0787,0.0219,0.1006,2.8683,109.4836,60.0,40.0,3.1,3.245,3.02,3.21,2578623.0,1
37.9473,60.7126,62.2835,0.0732,0.0031,0.0763,2.8195,105.6022,70.0,50.0,3.0,3.23,2.8,3.18,3239372.0,1
25.448,34.902,56.2001,0.0724,-0.0252,0.0472,2.768,14.8659,80.0,60.0,2.66,2.95,2.55,2.94,1520724.0,1
26.5216,18.2272,46.0921,0.0787,-0.0449,0.0338,2.7434,-74.1217,90.0,70.0,2.57,2.66,2.47,2.63,1481950.0,1
41.0167,23.2148,43.039,0.09,-0.0421,0.0479,2.7597,-103.5846,100.0,80.0,2.59,2.65,2.41,2.55,2243373.0,1
58.8716,38.1226,45.0481,0.1005,-0.0273,0.0732,2.7896,-56.0174,30.0,90.0,2.84,2.91,2.53,2.62,3818976.0,-1
67.6247,61.7126,51.9014,0.1073,-0.0099,0.0973,2.8138,76.6319,40.0,100.0,2.97,3.26,2.81,2.84,4330788.0,-1
62.4812,76.7797,56.0905,0.1098,-0.0054,0.1044,2.8101,95.1844,50.0,90.0,3.1,3.12,2.85,2.96,1037937.0,-1
44.3546,64.3817,61.2841,0.1111,-0.0116,0.0996,2.7887,162.5251,0.0,100.0,2.94,3.22,2.82,3.1,2211524.0,1
29.2941,46.2822,55.4501,0.114,-0.0363,0.0777,2.7442,79.4902,0.0,50.0,2.68,2.94,2.65,2.88,1294950.0,1
23.1909,22.4,48.4604,0.1231,-0.0519,0.0712,2.7248,-37.4765,10.0,60.0,2.67,2.82,2.55,2.66,1119523.0,1
33.5225,19.2,49.4118,0.1361,-0.052,0.0841,2.7341,-16.4293,20.0,0.0,2.6,2.83,2.56,2.69,1651972.0,1
48.9646,27.9727,46.58,0.1491,-0.0527,0.0964,2.7404,-83.1158,30.0,0.0,2.62,2.69,2.51,2.6,1468823.0,1
58.3696,53.3949,46.58,0.1622,-0.0424,0.1198,2.7604,-57.6414,40.0,10.0,2.85,2.85,2.561,2.6,1486940.0,-1
52.4495,65.5261,53.2922,0.1729,-0.0249,0.1479,2.7833,-10.3444,50.0,20.0,3.05,3.135,2.54,2.85,2356668.0,-1
40.7436,56.1877,59.1193,0.1791,-0.0228,0.1563,2.7738,5.8037,60.0,30.0,2.67,3.11,2.6,3.04,1537680.0,1
29.7612,35.6347,49.7498,0.1848,-0.0395,0.1453,2.7358,-70.5271,70.0,40.0,2.65,2.8,2.51,2.68,816825.0,1
23.8974,30.4083,48.8709,0.1947,-0.0289,0.1658,2.7438,-86.487,80.0,50.0,2.78,2.82,2.54,2.65,1173461.0,-1
22.5136,23.2407,51.2931,0.2019,-0.0093,0.1926,2.7572,-95.1597,90.0,60.0,2.65,2.95,2.5,2.74,2553867.0,1
32.482,18.043,53.4109,0.2042,0.0106,0.2148,2.7596,-109.9382,0.0,70.0,2.48,2.89,2.36,2.82,2808555.0,1
50.3824,26.2569,44.9769,0.2016,0.0303,0.2319,2.751,-121.5444,0.0,80.0,2.95,2.99,2.42,2.49,3980495.0,-1
69.1973,53.1461,58.5672,0.194,0.09,0.284,2.7883,40.5971,10.0,90.0,3.39,3.43,2.95,2.96,3025955.0,-1
79.8678,71.7442,75.0739,0.1715,0.127,0.2985,2.7637,112.1356,20.0,100.0,3.23,3.67,3.15,3.34,4664142.0,-1
86.435,82.7014,72.3004,0.1397,0.1343,0.274,2.6814,64.8098,0.0,80.0,3.02,3.215,2.85,3.19,3750939.0,1
86.6967,85.1577,69.4445,0.1062,0.1478,0.254,2.6087,81.3444,0.0,90.0,3.19,3.22,2.99,3.05,4302661.0,-1
85.4578,91.4458,76.5475,0.0692,0.1698,0.239,2.5457,111.3295,0.0,100.0,3.25,3.268,2.94,3.19,4761115.0,-1
81.4279,83.4866,76.3922,0.0268,0.1754,0.2022,2.4537,142.0607,10.0,100.0,3.17,3.25,3.0,3.18,3382387.0,1
80.7742,81.4411,75.365,-0.0171,0.1703,0.1532,2.3499,154.1566,0.0,100.0,2.74,3.24,2.7,3.11,6101092.0,1
80.8165,79.3561,68.0323,-0.0596,0.1552,0.0956,2.2413,111.8094,0.0,100.0,2.85,2.95,2.56,2.7,5839680.0,1
81.8001,81.5253,71.7845,-0.0985,0.1609,0.0624,2.1758,103.8596,10.0,100.0,2.51,2.88,2.21,2.78,5772807.0,1
84.4513,81.5683,65.5935,-0.1387,0.1497,0.011,2.0895,78.8635,20.0,80.0,2.44,2.55,2.15,2.49,2506545.0,1
85.721,82.3067,63.6112,-0.1761,0.1509,-0.0252,2.0323,100.9738,0.0,90.0,2.5,2.55,2.26,2.41,1777456.0,1
84.334,89.4789,68.9762,-0.2138,0.151,-0.0629,1.9783,151.0367,10.0,100.0,2.43,2.65,2.25,2.53,3362512.0,-1
78.7198,85.3775,65.2381,-0.2516,0.1293,-0.1223,1.8995,161.1491,20.0,100.0,2.28,2.55,2.08,2.36,3817882.0,1
70.2428,78.1455,61.8292,-0.2839,0.1048,-0.1791,1.8337,146.4998,30.0,100.0,1.91,2.25,1.77,2.22,3751614.0,1
63.5681,72.6364,52.1831,-0.3101,0.0754,-0.2347,1.7785,115.5084,40.0,90.0,1.83,1.98,1.68,1.9,1268339.0,1
55.0423,59.9465,48.5245,-0.3289,0.0593,-0.2697,1.7612,158.0717,50.0,100.0,1.94,2.09,1.75,1.8,2992012.0,-1
55.3216,58.1215,52.5014,-0.3437,0.0435,-0.3002,1.7556,141.8539,60.0,100.0,1.45,2.07,1.36,1.91,7174561.0,1
50.7458,47.0588,31.3158,-0.3546,0.0086,-0.346,1.7336,-76.0986,70.0,0.0,1.56,1.65,1.32,1.45,3211643.0,1
45.3022,60.7843,34.3099,-0.3568,0.0041,-0.3526,1.7741,-72.3295,80.0,0.0,1.52,1.59,1.35,1.55,2665396.0,-1
27.3625,44.3942,31.3565,-0.3578,-0.0083,-0.3661,1.8061,-73.2889,90.0,10.0,1.67,1.71,1.35,1.5,1990254.0,-1
17.3143,30.7281,36.0205,-0.3557,-0.0172,-0.3729,1.8498,-63.7636,100.0,0.0,1.4,1.77,1.26,1.66,2828467.0,1
13.6734,6.9653,18.2337,-0.3514,-0.041,-0.3925,1.8769,-153.2451,100.0,0.0,1.47,1.53,1.37,1.4,2716147.0,1
19.1799,14.2496,19.3511,-0.3412,-0.044,-0.3852,1.9451,-121.49,100.0,0.0,1.56,1.62,1.44,1.46,759400.0,-1
20.8273,19.8052,21.7501,-0.3302,-0.0463,-0.3765,2.0143,-81.4644,60.0,0.0,1.68,1.75,1.57,1.58,547934.0,-1
19.4918,23.4848,24.2282,-0.3186,-0.0535,-0.3721,2.0764,-70.2212,70.0,0.0,1.71,1.74,1.65,1.69,451730.0,-1
16.1291,19.1919,22.0482,-0.3052,-0.067,-0.3722,2.1316,-83.5197,80.0,10.0,1.68,1.76,1.62,1.66,467804.0,1
12.9365,15.7987,22.0482,-0.2885,-0.0755,-0.364,2.199,-94.2336,90.0,0.0,1.68,1.77,1.61,1.66,498884.0,1
9.8639,13.3966,22.5743,-0.2696,-0.0785,-0.3481,2.276,-106.8044,100.0,10.0,1.79,1.84,1.56,1.69,1566669.0,-1
8.8078,9.6141,24.3147,-0.25,-0.0759,-0.3259,2.3597,-108.4153,100.0,20.0,1.89,2.0,1.691,1.79,1476360.0,-1
10.3824,6.581,25.7437,-0.231,-0.0719,-0.303,2.4411,-126.3521,100.0,30.0,1.94,1.96,1.78,1.87,722397.0,-1
16.3546,10.2284,27.1815,-0.2131,-0.0644,-0.2774,2.5226,-139.9654,100.0,0.0,2.0,2.11,1.9,1.95,1632204.0,-1
27.406,14.3377,28.0631,-0.197,-0.052,-0.2489,2.6044,-163.2968,100.0,10.0,2.31,2.34,1.97,2.0,764234.0,-1
42.6146,24.4978,34.2643,-0.184,-0.0301,-0.2141,2.6908,-161.0295,100.0,0.0,2.26,2.48,2.15,2.31,1166314.0,-1
55.7393,43.3824,34.4856,-0.1765,-0.0216,-0.198,2.7452,-225.9746,100.0,0.0,2.6,2.6,2.2,2.32,743945.0,-1
59.9613,59.9638,38.7657,-0.1711,-0.0046,-0.1756,2.8059,-172.5861,100.0,10.0,2.81,2.84,2.32,2.51,433825.0,-1
54.6004,63.8716,46.4047,-0.1699,0.006,-0.1639,2.8482,-8.0121,60.0,20.0,2.75,2.84,2.75,2.79,177691.0,-1
46.497,56.0485,45.7171,-0.1714,-0.0036,-0.175,2.8565,-28.6023,0.0,30.0,2.7,2.88,2.66,2.77,285172.0,1
35.9383,43.881,42.3909,-0.1705,-0.0141,-0.1846,2.8689,-77.2574,0.0,40.0,2.72,2.77,2.63,2.67,155094.0,1
30.8499,39.5613,43.8415,-0.167,-0.017,-0.184,2.8973,-26.1312,10.0,50.0,2.7,2.79,2.68,2.73,196964.0,-1
28.7231,24.3725,43.8415,-0.1628,-0.0239,-0.1867,2.9212,-24.7899,20.0,60.0,2.82,2.835,2.46,2.73,760003.0,-1
41.1452,28.616,46.1887,-0.1568,-0.0306,-0.1874,2.9485,23.4004,30.0,70.0,2.7,2.92,2.61,2.84,927655.0,1
57.8618,33.1808,41.8592,-0.1492,-0.0475,-0.1967,2.964,1.4555,40.0,0.0,2.82,2.8301,2.6,2.67,152011.0,1
76.1248,61.6388,44.9206,-0.1373,-0.0512,-0.1885,3.006,22.6831,50.0,0.0,2.75,2.95,2.7,2.83,297758.0,-1
76.806,78.7657,42.0603,-0.1245,-0.067,-0.1915,3.0312,20.5528,60.0,0.0,3.24,3.3341,2.64,2.71,631052.0,-1
61.5955,87.9698,53.7932,-0.1077,-0.0726,-0.1804,3.077,55.2565,70.0,0.0,2.93,3.329,2.93,3.27,553199.0,-1
36.2557,63.6824,45.4833,-0.0896,-0.131,-0.2206,3.0495,-4.5235,80.0,10.0,2.97,2.97,2.82,2.93,298894.0,1
17.5056,33.1343,44.9593,-0.0568,-0.1772,-0.234,3.0665,-33.7593,90.0,20.0,2.45,2.94,2.44,2.91,492778.0,1
8.775,11.9502,31.2868,-0.0125,-0.2333,-0.2458,3.0889,-86.3752,100.0,0.0,2.3,2.5492,2.17,2.45,527227.0,1
8.3259,7.4322,22.6393,0.0458,-0.2562,-0.2104,3.1802,-119.8658,100.0,10.0,2.5,2.51,2.17,2.22,1010101.0,1
